iter	Passed	Remaining
468	708	802
469	709	800
470	710	798
471	711	796
472	713	794
473	714	792
474	715	790
475	716	788
476	717	786
477	718	784
478	719	783
479	721	781
480	722	779
481	723	777
482	724	775
483	725	773
484	726	771
485	727	769
486	728	767
487	729	765
488	731	764
489	732	762
490	733	760
491	734	758
492	735	756
493	736	754
494	738	753
495	739	751
496	740	749
497	743	749
498	744	747
499	746	746
500	747	744
501	748	742
502	749	740
503	750	738
504	751	736
505	752	734
506	753	732
507	754	730
508	755	728
509	756	726
510	757	725
511	758	723
512	760	721
513	761	719
514	762	717
515	763	715
516	764	714
517	765	712
518	766	710
519	767	708
520	768	706
521	769	704
522	770	702
523	771	700
524	772	698
525	773	697
526	774	695
527	775	693
528	777	691
529	778	690
530	779	688
531	780	686
532	781	684
533	782	682
534	783	680
535	784	678
536	785	676
537	786	675
538	787	673
539	788	671
540	789	669
541	790	667
542	791	666
543	792	664
544	793	662
545	794	660
546	795	658
547	796	657
548	797	655
549	799	654
550	800	652
551	801	650
552	802	649
553	804	647
554	805	645
555	806	643
556	807	642
557	808	640
558	809	638
559	810	637
560	811	635
561	812	633
562	814	631
563	815	630
564	816	628
565	817	627
566	819	625
567	820	623
568	821	622
569	822	620
570	823	618
571	824	616
572	825	615
573	826	613
574	827	611
575	828	609
576	829	608
577	830	606
578	832	605
579	833	603
580	835	602
581	836	600
582	837	598
583	838	597
584	839	595
585	840	593
586	841	591
587	842	590
588	843	588
589	844	586
590	845	585
591	846	583
592	847	582
593	849	580
594	850	578
595	851	577
596	852	575
597	853	573
598	854	572
599	855	570
600	856	568
601	857	567
602	858	565
603	859	563
604	861	562
605	862	560
606	863	559
607	864	557
608	865	555
609	866	553
610	867	552
611	868	550
612	869	548
613	870	547
614	871	545
615	872	544
616	873	542
617	874	540
618	876	539
619	877	537
620	878	536
621	879	534
622	880	532
623	881	531
624	882	529
625	883	528
626	884	526
627	885	524
628	886	523
629	887	521
630	888	519
631	890	518
632	891	516
633	892	515
634	893	513
635	894	512
636	895	510
637	896	508
638	897	507
639	898	505
640	899	504
641	900	502
642	902	500
643	903	499
644	904	497
645	905	496
646	906	494
647	907	493
648	908	491
649	909	489
650	910	488
651	911	486
652	912	485
653	913	483
654	914	481
655	915	480
656	917	478
657	918	477
658	919	475
659	920	474
660	922	472
661	923	471
662	924	469
663	925	468
664	926	466
665	927	465
666	928	463
667	929	461
668	930	460
669	931	458
670	932	457
671	933	455
672	934	454
673	935	452
674	936	451
675	937	449
676	939	448
677	939	446
678	940	444
679	942	443
680	942	441
681	944	440
682	944	438
683	946	437
684	947	435
685	948	434
686	949	432
687	950	431
688	951	429
689	952	428
690	953	426
691	954	424
692	955	423
693	956	421
694	957	420
695	958	418
696	960	417
697	961	416
698	962	414
699	964	413
700	965	411
701	966	410
702	967	408
703	968	407
704	969	405
705	970	404
706	971	402
707	972	400
708	973	399
709	974	398
710	975	396
711	976	395
712	978	393
713	979	392
714	980	390
715	981	389
716	983	388
717	984	386
718	985	385
719	986	383
720	987	382
721	989	380
722	989	379
723	991	377
724	992	376
725	993	374
726	994	373
727	996	372
728	997	370
729	998	369
730	999	367
731	1000	366
732	1001	364
733	1002	363
734	1003	361
735	1004	360
736	1005	358
737	1006	357
738	1007	355
739	1008	354
740	1009	352
741	1010	351
742	1011	349
743	1012	348
744	1013	347
745	1014	345
746	1015	344
747	1017	342
748	1018	341
749	1019	339
750	1020	338
751	1021	336
752	1022	335
753	1023	334
754	1024	332
755	1026	331
756	1027	329
757	1028	328
758	1029	326
759	1030	325
760	1031	323
761	1032	322
762	1033	321
763	1034	319
764	1036	318
765	1037	316
766	1038	315
767	1039	314
768	1040	312
769	1041	311
770	1042	309
771	1043	308
772	1044	306
773	1046	305
774	1047	303
775	1048	302
776	1049	301
777	1050	299
778	1051	298
779	1052	296
780	1053	295
781	1054	294
782	1055	292
783	1057	291
784	1058	289
785	1059	288
786	1060	286
787	1061	285
788	1062	284
789	1063	282
790	1064	281
791	1065	279
792	1066	278
793	1067	277
794	1068	275
795	1069	274
796	1070	272
797	1072	271
798	1073	269
799	1074	268
800	1075	267
801	1076	265
802	1077	264
803	1078	262
804	1079	261
805	1080	260
806	1081	258
807	1082	257
808	1083	255
809	1085	254
810	1086	253
811	1087	251
812	1088	250
813	1089	248
814	1090	247
815	1091	246
816	1092	244
817	1093	243
818	1094	241
819	1095	240
820	1096	239
821	1097	237
822	1099	236
823	1100	234
824	1101	233
825	1102	232
826	1103	230
827	1104	229
828	1105	228
829	1106	226
830	1107	225
831	1108	223
832	1110	222
833	1111	221
834	1112	219
835	1113	218
836	1114	217
837	1115	215
838	1116	214
839	1118	212
840	1119	211
841	1120	210
842	1121	208
843	1122	207
844	1123	206
845	1124	204
846	1126	203
847	1127	202
848	1128	200
849	1129	199
850	1130	197
851	1131	196
852	1132	195
853	1134	193
854	1135	192
855	1136	191
856	1137	189
857	1138	188
858	1139	187
859	1142	185
860	1143	184
861	1144	183
862	1145	181
863	1147	180
864	1149	179
865	1150	177
866	1151	176
867	1153	175
868	1155	174
869	1156	172
870	1157	171
871	1158	170
872	1159	168
873	1161	167
874	1162	166
875	1163	164
876	1164	163
877	1165	161
878	1166	160
879	1168	159
880	1169	157
881	1170	156
882	1171	155
883	1172	153
884	1174	152
885	1175	151
886	1176	149
887	1177	148
888	1178	147
889	1179	145
890	1180	144
891	1181	142
892	1182	141
893	1183	140
894	1184	138
895	1185	137
896	1186	136
897	1187	134
898	1188	133
899	1189	132
900	1190	130
901	1191	129
902	1192	128
903	1193	126
904	1195	125
905	1197	124
906	1198	122
907	1201	121
908	1202	120
909	1204	119
910	1205	117
911	1207	116
912	1209	115
913	1211	113
914	1213	112
915	1216	111
916	1218	110
917	1219	108
918	1221	107
919	1222	106
920	1225	105
921	1226	103
922	1227	102
923	1229	101
924	1231	99
925	1232	98
926	1233	97
927	1235	95
928	1236	94
929	1237	93
930	1238	91
931	1239	90
932	1245	89
933	1246	88
934	1248	86
935	1249	85
936	1250	84
937	1251	82
938	1252	81
939	1255	80
940	1256	78
941	1259	77
942	1261	76
943	1262	74
944	1264	73
945	1265	72
946	1266	70
947	1270	69
948	1272	68
949	1274	67
950	1276	65
951	1277	64
952	1279	63
953	1280	61
954	1282	60
955	1286	59
956	1288	57
957	1289	56
958	1290	55
959	1291	53
960	1292	52
961	1294	51
962	1295	49
963	1296	48
964	1297	47
965	1299	45
966	1300	44
967	1302	43
968	1304	41
969	1307	40
970	1310	39
971	1312	37
972	1313	36
973	1314	35
974	1315	33
975	1316	32
976	1318	31
977	1319	29
978	1320	28
979	1322	26
980	1324	25
981	1326	24
982	1329	22
983	1331	21
984	1332	20
985	1334	18
986	1335	17
987	1336	16
988	1337	14
989	1338	13
990	1339	12
991	1340	10
992	1341	9
993	1343	8
994	1345	6
995	1347	5
996	1348	4
997	1350	2
998	1351	1
999	1352	0
